Team,Year,Salary_Cap,Active_Cap_Spend,Dead_Cap,Dead_Cap_%,QB_Cap_Hit,QB_Cap_%,Offensive_Spend,Defensive_Spend,Avg_Roster_Age,Wins,Playoff_Appearance
carolina-panthers,2019,188200000.0,141643894.0,24882481.0,0.1322129702444208,2886090.0,0.01533522848034,53277927.0,69351358.0,26.06,5.0,0
carolina-panthers,2020,198200000.0,119293249.0,54070124.0,0.2728058728557013,15518670.0,0.0782980322906155,78310402.0,34680533.0,26.0,5.0,0
carolina-panthers,2021,182500000.0,137553967.0,70181398.0,0.384555605479452,18534685.0,0.1015599178082191,60281098.0,62275596.0,25.92553191489361,5.0,0
carolina-panthers,2022,208200000.0,164859408.0,67079215.0,0.3221864313160422,20648000.0,0.0991738712776176,84549735.0,56628673.0,26.28735632183908,7.0,0
carolina-panthers,2023,224800000.0,136455085.0,62169404.0,0.2765542882562277,9032922.0,0.040182037366548,52625677.0,54927089.0,26.943396226415093,2.0,0
carolina-panthers,2024,255400000.0,147773587.0,73242553.0,0.2867758535630383,13681487.0,0.0535688606108065,93667203.0,41030495.0,27.21153846153846,5.0,0
carolina-panthers,2025,279200000.0,188735923.0,34723715.0,0.1243686067335243,13563869.0,0.0485811926934097,102579062.0,69970800.0,26.56603773584905,8.0,1
chicago-bears,2018,177200000.0,197825024.0,29853137.0,0.168471427765237,14598278.0,0.0823830586907449,94956236.0,71214371.0,25.84375,12.0,1
chicago-bears,2019,188200000.0,299086047.0,28353743.0,0.1506575079702444,27835866.0,0.1479057704569606,137051488.0,110728275.0,26.32575757575757,8.0,0
chicago-bears,2020,198200000.0,163818846.0,17098298.0,0.0862679011099899,15994257.0,0.0806975630676084,71322765.0,54316670.0,26.88679245283019,8.0,1
chicago-bears,2021,182500000.0,174996187.0,49652247.0,0.272067106849315,11666666.0,0.0639269369863013,83902142.0,69009728.0,27.165137614678898,6.0,0
chicago-bears,2022,208200000.0,113330799.0,110258113.0,0.5295778722382325,6079073.0,0.0291982372718539,62894612.0,31785732.0,25.67543859649123,3.0,0
