Team,Year,Total Cap,Active Cap,Dead Cap,QBCap%,Dead Cap %,Active Spend %,Wins,Playoffs
los-angeles-rams,2027,318620000.0,132122750.0,,0.030129935346180404,,0.4146718661728705,,
los-angeles-rams,2028,334550000.0,49604844.0,,0.028695262292631894,,0.1482733343296966,,
miami-dolphins,2026,303450000.0,234914997.0,73949385.0,0.19215864557587742,0.24369545229856648,0.7741472960949085,,
miami-dolphins,2027,318620000.0,208831451.0,,0.17121616345489926,,0.6554248038415668,,
miami-dolphins,2028,334550000.0,158006765.0,,0.20047195934837841,,0.47229641309221343,,
minnesota-vikings,2026,303450000.0,355839554.0,5608074.0,0.02296500906244851,0.018481047948591203,1.1726464129181084,,
minnesota-vikings,2027,318620000.0,304260724.0,,0.0253503640700521,,0.9549329106772958,,
minnesota-vikings,2028,334550000.0,181116702.0,,,,0.5413740905694217,,
new-england-patriots,2026,303450000.0,305054824.0,20364345.0,0.04858349975284231,0.06710939199209096,1.0052885944966221,,
new-england-patriots,2027,318620000.0,241582373.0,,0.03658937605925554,,0.7582147165902956,,
new-england-patriots,2028,334550000.0,108753295.0,,,,0.32507336720968466,,
new-orleans-saints,2026,303450000.0,276468938.0,90590412.0,0.01191213709013017,0.29853488877904105,0.9110856417861262,,
new-orleans-saints,2027,318620000.0,202910790.0,,0.013247322829703095,,0.6368426024731655,,
new-orleans-saints,2028,334550000.0,70839176.0,,0.01027609027051263,,0.21174465999103273,,
new-york-giants,2026,303450000.0,303121914.0,216988.0,0.029193013676058657,0.0007150700280112045,0.9989188136431043,,
new-york-giants,2027,318620000.0,207001291.0,,0.014532496390684829,,0.649680782750612,,
new-york-giants,2028,334550000.0,88849250.0,,0.016147266477357643,,0.2655783888805859,,
new-york-jets,2026,303450000.0,154989645.0,91246619.0,0.08264953040039545,0.30069737683308617,0.5107584280771132,,
new-york-jets,2027,318620000.0,148804867.0,,0.028246814387044128,,0.4670292731153098,,
new-york-jets,2028,334550000.0,69346114.0,,0.008967269466447467,,0.20728176356299507,,
philadelphia-eagles,2026,303450000.0,264288670.0,52277574.0,0.10928795518207284,0.17227739001482947,0.8709463503048278,,
philadelphia-eagles,2027,318620000.0,274512261.0,,0.13223526457849477,,0.8615663203816458,,
