Unnamed: 0,Player (27),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Raimann  Bernhard Raimann,LT,30.0,27855200,8.74,-13533600.0,23344000.0,2030
2,Ward  Charvarius Ward,CB,32.0,24666667,7.74,-6666667.0,18000000.0,2028
3,Richardson  Anthony Richardson,QB,25.0,23503000,7.38,,23503000.0,2028
4,Gardner  Ahmad Gardner,CB,26.0,20953473,6.58,,24953473.0,2031
5,Bynum  Camryn Bynum,S,29.0,18480000,5.8,-9000000.0,13980000.0,2029
6,Franklin  Zaire Franklin,LB,31.0,10255000,3.22,-1250000.0,9005000.0,2028
7,Buckner  DeForest Buckner,DL,33.0,7200000,2.26,-7200000.0,,2027
8,Warren  Tyler Warren,TE,25.0,5716541,1.79,-12385839.0,2745514.0,2030
9,Latu  Laiatu Latu,ED,26.0,5419239,1.7,-5419239.0,3117531.0,2029
10,Tuimoloau  JT Tuimoloau,ED,24.0,2711582,0.85,-4683984.0,1743860.0,2029
11,Goncalves  Matt Goncalves,G,26.0,1857876,0.58,-266643.0,1591233.0,2028
12,Walley  Justin Walley,CB,25.0,1757459,0.55,-663278.0,1425820.0,2029
13,Rhodes  Luke Rhodes,LS,35.0,1650000,0.52,-220000.0,1430000.0,2028
14,Bortolini  Tanor Bortolini,C,25.0,1384968,0.43,-194968.0,1190000.0,2028
15,Travis  Jalen Travis,RT,25.0,1350317,0.42,-460634.0,1120000.0,2029
16,Gould  Anthony Gould,WR,26.0,1278166,0.4,-88166.0,1190000.0,2028
17,Carlies  Jaylon Carlies,S,26.0,1274060,0.4,-84060.0,1190000.0,2028
18,Giddens  DJ Giddens,RB,24.0,1226186,0.38,-212372.0,1120000.0,2029
19,Leonard  Riley Leonard,QB,25.0,1178811,0.37,-117622.0,1120000.0,2029
20,Wohler  Hunter Wohler,S,24.0,1152767,0.36,-65534.0,1120000.0,2029
21,Edwards  Johnathan Edwards,S,26.0,1130000,0.35,-10000.0,1120000.0,2028
22,Bullock  John Bullock,LB,26.0,1120000,0.35,,1120000.0,2028
23,Lowery III  Reuben Lowery III,CB,25.0,1120000,0.35,,1120000.0,2028
24,Veresuk  Devin Veresuk,LB,,1053333,0.33,-6667.0,1050000.0,2029
25,Ekeler  Wyett Ekeler,S,,1050000,0.33,,1050000.0,2029
26,Carter  Rob Carter,S,,1050000,0.33,,1050000.0,2029
27,Moore  Kenny Moore,CB,32.0,950000,0.3,-2850000.0,,2027
