Unnamed: 0,Player (52),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Burrow  Joe Burrow,QB,28,29714000,11.63,-154714000.0,65759844,2030
2,Higgins  Tee Higgins,WR,25,21816000,8.54,-21816000.0,21851152,2025
3,Hendrickson  Trey Hendrickson,ED,30,20166666,7.9,-7833334.0,15049256,2026
4,Hill  B.J. Hill,DL,29,10833334,4.24,-3333334.0,7561245,2025
5,Hubbard  Sam Hubbard,ED,29,10120575,3.96,-4000000.0,8168999,2026
6,Chase  Ja'Marr Chase,WR,24,9806250,3.84,-31622249.0,4990020,2026
7,Cappa  Alex Cappa,G,29,9250000,3.62,-4500000.0,7148865,2026
8,Hilton  Mike Hilton,CB,30,7450000,2.92,-1000000.0,6542456,2025
9,Pratt  Germaine Pratt,LB,28,7133333,2.79,-5666667.0,4984079,2026
10,Karras  Ted Karras,C,31,7100000,2.78,-4000000.0,7807360,2027
11,Stone  Geno Stone,S,25,6025000,2.36,-6000000.0,7738762,2026
12,Sample  Drew Sample,TE,28,4900000,1.92,-2350000.0,5116795,2027
13,Murphy  Myles Murphy,ED,22,2860741,1.12,-10298669.0,1472109,2028
14,Mims  Amarius Mims,RT,22,2794829,1.09,-15371558.0,9127187,2029
15,Davis-Gaither  Akeem Davis-Gaither,LB,27,2544382,1.0,-675500.0,3102849,2025
16,Gesicki  Mike Gesicki,TE,29,2500000,0.98,-400000.0,3210610,2025
17,Ossai  Joseph Ossai,ED,24,1652196,0.65,-284112.0,1859353,2025
18,Taylor-Britt  Cam Taylor-Britt,CB,25,1623471,0.64,-754628.0,2014853,2026
19,Jenkins  Kris Jenkins,DL,23,1429175,0.56,-5480322.0,3681544,2028
20,Ford  Cody Ford,G,28,1350000,0.53,-175000.0,2404465,2025
21,Battle  Jordan Battle,S,24,1210231,0.47,-654555.0,1562630,2027
22,Bell  Vonn Bell,S,30,1210000,0.47,,1396951,2025
23,Hudson  Tanner Hudson,TE,30,1152500,0.45,-167500.0,1597721,2025
24,Volson  Cordell Volson,G,26,1149221,0.45,-328442.0,1916356,2026
25,Jones  Charlie Jones,WR,26,1084694,0.42,-509082.0,977482,2027
26,Anderson  Tycen Anderson,S,25,1061521,0.42,-153042.0,1306921,2026
27,Burton  Jermaine Burton,WR,23,1058345,0.41,-1053380.0,1985571,2028
28,Tufele  Jay Tufele,DL,25,1055000,0.41,,1324870,2025
29,Brown  Chase Brown,RB,24,986539,0.39,-214617.0,1630269,2027
30,Williams  Trayveon Williams,RB,27,985000,0.39,,1369397,2025
31,Adomitis  Cal Adomitis,LS,26,985000,0.39,,1124383,2025
32,Iosivas  Andrei Iosivas,WR,25,954846,0.37,-119538.0,1769094,2027
33,Jackson  McKinnley Jackson,DL,23,945288,0.37,-890044.0,1863933,2028
34,Ivey  D.J. Ivey,CB,24,935163,0.37,-60489.0,1162977,2027
35,Browning  Jake Browning,QB,28,915000,0.36,,919947,2026
36,Wilson  Marco Wilson,CB,25,903257,0.35,,903257,2025
37,Newton  Josh Newton,CB,24,879319,0.34,-337276.0,1768836,2028
38,McLachlan  Tanner McLachlan,TE,25,840764,0.33,-183056.0,999126,2028
39,Johnson  Cedric Johnson,ED,22,829597,0.32,-138388.0,1092830,2028
40,Anthony  Daijahn Anthony,S,24,824446,0.32,-117784.0,1087441,2028
41,Lee  Matt Lee,C,23,820438,0.32,-101752.0,1006753,2028
42,Njongmeta  Maema Njongmeta,LB,23,800000,0.31,-15000.0,1207896,2027
43,Rehkow  Ryan Rehkow,P,26,795000,0.31,,934542,2025
44,Herbert  Khalil Herbert,RB,26,527500,0.21,,677802,2025
45,Grandy  Cam Grandy,TE,24,353336,0.14,,483988,2025
46,Williams  Isaiah Williams,WR,23,353336,0.14,,394547,2027
47,Cochran  Devin Cochran,RT,26,305000,0.12,,478982,2026
48,Stueber  Andrew Stueber,LT,25,220835,0.09,,263375,2026
49,Heyward  Shaka Heyward,LB,24,220835,0.09,,333528,2026
50,York  Cade York,K,23,164166,0.06,,217602,2025
51,Thomas  Isaiah Thomas,ED,26,101666,0.04,,101666,2026
52,Milton  Kendall Milton,RB,22,44167,0.02,,50012,2026
