Unnamed: 0,Player (54),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Brady  Tom Brady,QB,42,21500000,11.42,-32250000.0,23000000,2020
2,McCourty  Devin McCourty,FS,32,13435000,7.14,-3935000.0,9500000,2020
3,Hightower  Dont'a Hightower,LB,29,11445305,6.08,-7000000.0,8945305,2022
4,Gilmore  Stephon Gilmore,CB,29,9170833,4.87,-24012502.0,10000000,2022
5,Edelman  Julian Edelman,WR,33,7202616,3.83,-14335949.0,11000000,2022
6,Van Noy  Kyle Van Noy,LB,28,6260418,3.33,-1166668.0,5093750,2020
7,Mason  Shaq Mason,G,26,5962500,3.17,-18600000.0,4812500,2024
8,Cannon  Marcus Cannon,RT,31,5122917,2.72,-6350000.0,6056250,2023
9,Harmon  Duron Harmon,SS,28,4750000,2.52,-2500000.0,3500000,2021
10,White  James White,RB,27,4593750,2.44,-2000000.0,3718750,2021
11,Guy  Lawrence Guy,DL,29,4466666,2.37,-2533334.0,3500000,2021
12,Chung  Patrick Chung,SS,32,4342708,2.31,-7600000.0,5809375,2022
13,McCourty  Jason McCourty,CB,32,4137500,2.2,-5550000.0,5887500,2021
14,Sanu  Mohamed Sanu,WR,30,3779411,2.01,-3529412.0,3779411,2021
15,Burkhead  Rex Burkhead,RB,29,3156250,1.68,-2000000.0,2156250,2021
16,Slater  Matthew Slater,WR,34,3000000,1.59,-500000.0,2500000,2020
17,Collins  Jamie Collins,LB,30,3000000,1.59,-350000.0,3000000,2020
18,Ebner  Nate Ebner,FS,31,2818750,1.5,-600000.0,2218750,2020
19,Jones  Jonathan Jones,CB,26,2738750,1.46,-11995000.0,8795000,2023
20,Wynn  Isaiah Wynn,LT,23,2600433,1.38,-9361558.0,1000087,2023
21,Dorsett  Phillip Dorsett,WR,26,2537500,1.35,-600000.0,2537500,2020
22,Thuney  Joe Thuney,G,27,2218357,1.18,-223357.0,2025000,2020
23,Michel  Sony Michel,RB,24,2187885,1.16,-7119402.0,917577,2022
24,Roberts  Elandon Roberts,LB,25,2050089,1.09,-25089.0,2025000,2020
25,Harry  N'Keal Harry,WR,22,1836063,0.98,-7731300.0,5859252,2023
26,Simon  John Simon,ED,29,1775000,0.94,-1650000.0,2150000,2021
27,Bolden  Brandon Bolden,RB,29,1687500,0.9,-2000000.0,2187500,2022
28,Brooks  Terrence Brooks,FS,27,1431250,0.76,-1400000.0,1681250,2021
29,LaCosse  Matt LaCosse,TE,27,1225000,0.65,-500000.0,1375000,2022
30,Williams  Joejuan Williams,CB,22,1204846,0.64,-3634919.0,3334384,2023
31,Shelton  Danny Shelton,DL,26,1030000,0.55,-75000.0,1030000,2020
32,Cardona  Joe Cardona,LS,27,955000,0.51,-520000.0,825000,2023
33,Watson  Benjamin Watson,TE,39,940000,0.5,-800000.0,940000,2020
34,Wise  Deatrich Wise,ED,25,790140,0.42,-290280.0,645000,2021
35,Winovich  Chase Winovich,ED,24,744328,0.4,-997312.0,1492312,2023
36,Ferentz  James Ferentz,C,30,720000,0.38,,720000,2020
37,Calhoun  Shilique Calhoun,LB,27,720000,0.38,,720000,2020
38,Karras  Ted Karras,C,26,720000,0.38,,720000,2020
39,Harris  Damien Harris,RB,22,716534,0.38,-886136.0,1381136,2023
40,Stidham  Jarrett Stidham,QB,23,654028,0.35,-636112.0,1131112,2023
41,Butler  Adam Butler,DL,25,646668,0.34,-1668.0,645000,2020
42,Bentley  Ja'whaun Bentley,LB,23,645988,0.34,-227966.0,570000,2022
43,Eluemunor  Jermaine Eluemunor,G,25,645000,0.34,,645000,2020
44,Newhouse  Marshall Newhouse,RT,31,607059,0.32,,875294,2020
45,Jackson  J.C. Jackson,CB,24,573333,0.3,-6667.0,570000,2021
46,Cowart  Byron Cowart,DL,23,570149,0.3,-300596.0,795596,2023
47,Cunningham  Korey Cunningham,T,24,570000,0.3,,570000,2022
48,Bailey  Jake Bailey,P,22,567245,0.3,-288980.0,783980,2023
49,Bethel  Justin Bethel,CB,29,547058,0.29,,562486,2021
50,Izzo  Ryan Izzo,TE,24,512267,0.27,-51803.0,495000,2022
51,Meyers  Jakobi Meyers,WR,23,498333,0.26,-60000.0,505000,2022
52,Kessler  Cody Kessler,QB,26,381176,0.2,,381176,2021
53,Kessler  Cody Kessler,QB,26,381176,0.2,,381176,2021
54,Folk  Nick Folk,K,35,242352,0.13,,242352,2020
