Unnamed: 0,Player (46),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Young  Chase Young,ED,28.0,23672000,7.43,-14762000.0,18000000.0,2028
2,Granderson  Carl Granderson,ED,31.0,18062000,5.67,-9736000.0,12750000.0,2028
3,McCoy  Erik McCoy,C,30.0,17581000,5.52,-10948000.0,12000000.0,2028
4,Ruiz  Cesar Ruiz,G,28.0,14196000,4.46,-9488000.0,9500000.0,2028
5,Johnson  Juwan Johnson,TE,31.0,13575000,4.26,-9350000.0,9500000.0,2028
6,Bresee  Bryan Bresee,DL,26.0,12659000,3.97,,12659000.0,2028
7,Reid  Justin Reid,S,30.0,11550000,3.63,-6900000.0,9250000.0,2028
8,Werner  Pete Werner,LB,28.0,8216000,2.58,-4048000.0,6500000.0,2028
9,Banks Jr.  Kelvin Banks Jr.,LT,23.0,7563067,2.37,-16386645.0,3361022.0,2030
10,Jordan  Cameron Jordan,DL,38.0,5964000,1.87,,,2026
11,Hill  Taysom Hill,TE,37.0,5961500,1.87,,,2026
12,Fuaga  Taliese Fuaga,T,25.0,5519869,1.73,-5519869.0,3160659.0,2029
13,Kamara  Alvin Kamara,RB,32.0,5040471,1.58,-8140471.0,,2027
14,Shepherd  Nathan Shepherd,DL,34.0,4367600,1.37,-4367600.0,,2027
15,Davis  Demario Davis,LB,38.0,4356000,1.37,,,2026
16,Yiadom  Isaac Yiadom,CB,31.0,3565000,1.12,-700000.0,2865000.0,2028
17,Shough  Tyler Shough,QB,28.0,2946742,0.92,-6384608.0,1822248.0,2029
18,McKinstry  Kool-Aid McKinstry,CB,25.0,2913625,0.91,-1038629.0,2043696.0,2028
19,Polk  Ja'Lynn Polk,WR,25.0,2117010,0.66,-636541.0,2117010.0,2028
20,Godchaux  Davon Godchaux,DL,33.0,1917000,0.6,-1917000.0,,2027
21,Broughton  Vernon Broughton,DL,26.0,1810308,0.57,-733744.0,1443436.0,2029
22,Sanker  Jonas Sanker,S,25.0,1703237,0.53,-590982.0,1407746.0,2029
23,Wood  Zach Wood,LS,34.0,1645000,0.52,-200000.0,1445000.0,2028
24,Stutsman  Danny Stutsman,LB,24.0,1377091,0.43,-514182.0,1120000.0,2029
25,Riley  Quincy Riley,CB,26.0,1341809,0.42,-443618.0,1120000.0,2029
26,Rattler  Spencer Rattler,QB,27.0,1274120,0.4,-84120.0,1190000.0,2028
27,Means  Bub Means,WR,26.0,1253569,0.39,-63569.0,1190000.0,2028
28,Ford  Jaylan Ford,LB,26.0,1253569,0.39,-63569.0,1190000.0,2028
29,Boyd  Khristian Boyd,DL,27.0,1234707,0.39,-44707.0,1190000.0,2028
30,Vele  Devaughn Vele,WR,30.0,1190000,0.37,,1190000.0,2028
31,Neal  Devin Neal,RB,24.0,1182828,0.37,-125656.0,1120000.0,2029
32,Simpkins III  Torriccelli Simpkins III,G,25.0,1128334,0.35,-8334.0,1120000.0,2028
33,Mitchell-Paden  Zaire Mitchell-Paden,TE,28.0,1120000,0.35,,1120000.0,2028
34,Smyth  Charlie Smyth,K,26.0,1120000,0.35,,1120000.0,2028
35,Welch  Treyton Welch,TE,26.0,1120000,0.35,,1120000.0,2028
36,Diggs  Fadil Diggs,ED,26.0,1120000,0.35,,1120000.0,2029
37,Truss  Xavier Truss,G,26.0,1120000,0.35,,1120000.0,2028
38,Kroeger  Kai Kroeger,P,25.0,1120000,0.35,,1120000.0,2028
39,Alford  Damien Alford,WR,,1053334,0.33,-6667.0,1050000.0,2029
40,Wesley  Barry Wesley,LT,28.0,1050000,0.33,,1050000.0,2028
41,Price  Jayden Price,CB,27.0,1050000,0.33,,1050000.0,2028
42,Izzard  Coziah Izzard,DL,26.0,1050000,0.33,,1050000.0,2028
43,Beanum  Dalys Beanum,CB,25.0,1050000,0.33,,1050000.0,2028
44,Kilty  Easton Kilty,T,25.0,1050000,0.33,,1050000.0,2028
45,Davison  Elliott Davison,S,26.0,1050000,0.33,,1050000.0,2028
46,Moreau  Foster Moreau,TE,30.0,700000,0.22,,,2026
