Unnamed: 0,Player (53),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Williams  Trent Williams,LT,37,21406661,7.67,-54851566.0,21905882,2027
2,Kittle  George Kittle,TE,32,14231842,5.1,-53730000.0,19914118,2030
3,Gross-Matos  Yetur Gross-Matos,ED,27,9473000,3.39,-9712000.0,7730000,2026
4,Jennings  Jauan Jennings,WR,28,9139300,3.27,-11624300.0,13681300,2026
5,Purdy  Brock Purdy,QB,26,9128073,3.27,-100028073.0,41108820,2031
6,McCaffrey  Christian McCaffrey,RB,29,8751472,3.13,-25241888.0,16200000,2028
7,Huff  Bryce Huff,ED,27,7950945,2.85,-7950945.0,7950945,2027
8,Lenoir  Deommodore Lenoir,CB,26,5920000,2.12,-18920000.0,8520000,2030
9,Brendel  Jake Brendel,C,33,5305000,1.9,-3578000.0,3905000,2027
10,McKivitz  Colton McKivitz,RT,29,4403777,1.58,-21995997.0,9430000,2029
11,Elliott  Jordan Elliott,DL,28,3435588,1.23,-1910000.0,2970588,2026
12,Burford  Spencer Burford,LT,25,2920574,1.05,-845574.0,2412560,2026
13,Pearsall  Ricky Pearsall,WR,25,2858456,1.02,-10267509.0,1373747,2029
14,Jones  Mac Jones,QB,27,2558000,0.92,-4750000.0,4250000,2027
15,Farrell  Luke Farrell,TE,27,2544000,0.91,-6000000.0,6000000,2028
16,Juszczyk  Kyle Juszczyk,FB,34,2516000,0.9,-3450000.0,4100000,2027
17,Pinnock  Jason Pinnock,CB,26,2200000,0.79,-2250000.0,2200000,2026
18,Robinson  Demarcus Robinson,WR,31,1934830,0.69,-6000000.0,3715830,2027
19,Robinson  Brian Robinson,RB,26,1906000,0.68,,1906000,2026
20,Collins  Alfred Collins,DL,24,1877041,0.67,-8333921.0,4978978,2029
21,Gifford  Luke Gifford,LB,30,1800000,0.64,-700000.0,1800000,2026
22,Bourne  Kendrick Bourne,WR,30,1765000,0.63,-1669375.0,2500000,2026
23,Neal  Siran Neal,S,31,1650000,0.59,-2280000.0,2450000,2027
24,Moore  Skyy Moore,WR,25,1509615,0.54,,1509615,2026
25,Brown  Ji'Ayir Brown,S,25,1479143,0.53,-512112.0,1248087,2027
26,Green  Renardo Green,CB,25,1460434,0.52,-2194024.0,1093639,2028
27,Puni  Dominick Puni,G,25,1304399,0.47,-774389.0,1062936,2028
28,Hennessy  Matt Hennessy,C,28,1207500,0.43,-37500.0,1170000,2026
29,Weeks  Jon Weeks,LS,39,1197500,0.43,-367500.0,1422500,2026
30,Givens  Kevin Givens,DL,28,1195000,0.43,-2050000.0,2050000,2026
31,White  Keion White,LB,26,1170157,0.42,-802008.0,1170157,2027
32,Guerendo  Isaac Guerendo,RB,25,1144952,0.41,-537216.0,968820,2028
33,Davis  Kalia Davis,DL,27,1141824,0.41,-41824.0,1108820,2026
34,Stout  Upton Stout,CB,23,1123113,0.4,-1123758.0,1963758,2029
35,Luter Jr.  Darrell Luter Jr.,CB,25,1117198,0.4,-165576.0,1038820,2027
36,West  CJ West,DL,23,1095832,0.39,-1014148.0,1854148,2029
37,Winters  Dee Winters,LB,25,1072154,0.38,-75488.0,1038820,2027
38,Tonges  Jake Tonges,TE,26,1038820,0.37,-8820.0,1038820,2026
39,Okuayinonu  Sam Okuayinonu,ED,27,1038505,0.37,-8505.0,1038505,2026
40,Lucas  Chase Lucas,CB,28,1038190,0.37,-8190.0,1038190,2026
41,Morstead  Thomas Morstead,P,39,1030000,0.37,-1030000.0,1255000,2026
42,Mustapha  Malik Mustapha,S,23,1029942,0.37,-563022.0,845208,2028
43,Watkins  Jordan Watkins,WR,23,1009513,0.36,-668875.0,1508875,2029
44,Bethune  Tatum Bethune,LB,24,989272,0.35,-70176.0,968820,2028
45,Pineiro  Eddy Pineiro,K,30,972778,0.35,,1105000,2026
46,Robinson  Curtis Robinson,LB,27,972774,0.35,,1105000,2026
47,Pleasants  Austen Pleasants,RT,28,968820,0.35,-8820.0,968820,2026
48,James  Jordan James,RB,21,952980,0.34,-442741.0,1282741,2029
49,Sigle  Marques Sigle,S,23,943653,0.34,-405435.0,1245435,2029
50,Colby  Connor Colby,G,22,868477,0.31,-104733.0,944733,2029
51,Beal Jr.  Robert Beal Jr.,ED,26,629442,0.23,,629442,2026
52,Ferrell  Clelin Ferrell,ED,28,457776,0.16,,520000,2026
53,Wallow  Garret Wallow,LB,26,244444,0.09,,244444,2026
