Unnamed: 0,Player (24),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Burrow  Joe Burrow,QB,31,51999784,16.32,-36000000.0,37250000,2030
2,Chase  Ja'Marr Chase,WR,27,33400000,10.48,-25200000.0,30000000,2030
3,Higgins  Tee Higgins,WR,28,30050000,9.43,-7500000.0,26300000,2029
4,Murphy  Myles Murphy,ED,25,14685000,4.61,,14685000,2028
5,Hill  B.J. Hill,DL,32,12216667,3.83,-3666667.0,8550000,2028
6,Gesicki  Mike Gesicki,TE,32,10166668,3.19,-2166668.0,8000000,2028
7,McPherson  Evan McPherson,K,28,5683334,1.78,-2083334.0,3600000,2028
8,Stewart  Shemar Stewart,ED,24,5173439,1.62,-11209118.0,2564480,2030
9,Mims  Amarius Mims,RT,25,4890950,1.54,-4890950.0,2891121,2029
10,Jenkins  Kris Jenkins,DL,26,2501057,0.79,-634175.0,1866882,2028
11,Knight Jr.  Demetrius Knight Jr.,LB,27,2457952,0.77,-3427278.0,1659316,2029
12,Anthony  Daijahn Anthony,S,27,1939446,0.61,-29446.0,1910000,2028
13,Jackson  McKinnley Jackson,DL,26,1780645,0.56,-222511.0,1558134,2028
14,Fairchild  Dylan Fairchild,G,24,1751231,0.55,-654974.0,1423744,2029
15,All  Erick All,TE,27,1388276,0.44,-198276.0,1190000,2028
16,Carter  Barrett Carter,LB,25,1365529,0.43,-491058.0,1120000,2029
17,Newton  Josh Newton,CB,27,1274319,0.4,-84319.0,1190000,2028
18,Rivers  Jalen Rivers,G,25,1225245,0.38,-210490.0,1120000,2029
19,Johnson  Cedric Johnson,ED,25,1224597,0.38,-34597.0,1190000,2028
20,Lee  Matt Lee,C,26,1215438,0.38,-25438.0,1190000,2028
21,Jefferson  Jordan Jefferson,DL,26,1190000,0.37,,1190000,2028
22,Brooks  Tahj Brooks,RB,25,1177714,0.37,-115428.0,1120000,2029
23,Wagner  William Wagner,LS,27,1123334,0.35,-3334.0,1120000,2028
24,Meyers  Dohnte Meyers,WR,27,1053333,0.33,-6667.0,1050000,2029
