Unnamed: 0,Player (53),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Rodgers  Aaron Rodgers,QB,35,20900000,11.79,-80300000.0,66900000,2024
2,Cobb  Randall Cobb,WR,28,12531250,7.07,-12250000.0,9281250,2019
3,Matthews Jr.  Clay Matthews Jr.,ED,32,11400000,6.43,-10900000.0,11400000,2019
4,Bakhtiari  David Bakhtiari,LT,27,11075000,6.25,-17100000.0,7875000,2021
5,Adams  Davante Adams,WR,26,10568750,5.96,-19460000.0,6968750,2022
6,Bulaga  Bryan Bulaga,RT,29,8268750,4.67,-9300000.0,6668750,2020
7,Graham  Jimmy Graham,TE,32,5916666,3.34,-12700000.0,13250000,2021
8,Crosby  Mason Crosby,K,34,5250000,2.96,-6300000.0,4000000,2020
9,Linsley  Corey Linsley,C,27,4850000,2.74,-8350000.0,2850000,2021
10,Taylor  Lane Taylor,G,29,4193750,2.37,-6100000.0,2818750,2021
11,Williams  Tramon Williams,CB,35,3625000,2.05,-4850000.0,5250000,2020
12,Kendricks  Lance Kendricks,TE,30,2225000,1.26,-1925000.0,1625000,2019
13,Alexander  Jaire Alexander,CB,21,2191041,1.24,-12050728.0,7324166,2023
14,Lewis  Marcedes Lewis,TE,34,2100000,1.19,-2100000.0,2100000,2019
15,Spriggs  Jason Spriggs,T,24,1364807,0.77,-919744.0,904936,2020
16,Jackson  Josh Jackson,CB,22,1137473,0.64,-3874260.0,3109892,2022
17,Jones  Josh Jones,S,24,962139,0.54,-914135.0,657428,2021
18,Fackrell  Kyler Fackrell,ED,27,836512,0.47,-362024.0,663000,2020
19,Adams  Montravius Adams,DL,23,782194,0.44,-573582.0,596000,2021
20,Martinez  Blake Martinez,LB,24,725848,0.41,-191697.0,630000,2020
21,Lowry  Dean Lowry,DL,24,725848,0.41,-191697.0,630000,2020
22,Williams  Jamaal Williams,RB,23,696498,0.39,-424494.0,555000,2021
23,Kizer  DeShone Kizer,QB,22,689928,0.39,-689928.0,689928,2021
24,Burks  Oren Burks,LB,23,685189,0.39,-820756.0,1300756,2022
25,Brice  Kentrell Brice,SS,24,630668,0.36,-668.0,630000,2019
26,Morrison  Antonio Morrison,LB,24,630000,0.36,,630000,2020
27,Breeland  Bashaud Breeland,CB,26,608823,0.34,,740588,2019
28,Moore  J'Mon Moore,WR,23,593089,0.33,-452359.0,932359,2022
29,McCray  Justin McCray,G,26,555000,0.31,,555000,2019
30,Patrick  Lucas Patrick,G,25,555000,0.31,,555000,2019
31,Scott  JK Scott,P,22,534388,0.3,-217553.0,697553,2022
32,Valdes-Scantling  Marquez Valdes-Scantling,WR,24,534388,0.3,-217553.0,697553,2022
33,St. Brown  Equanimeous St. Brown,WR,22,509602,0.29,-118408.0,598408,2022
34,Bradley  Hunter Bradley,LS,24,499335,0.28,-77342.0,557342,2022
35,Boyle  Tim Boyle,QB,24,482000,0.27,-6000.0,486000,2021
36,Gilbert  Reggie Gilbert,DL,25,480000,0.27,,480000,2019
37,Tonyan Jr.  Robert Tonyan Jr.,WR,24,480000,0.27,,480000,2019
38,Crawford  James Crawford,LB,24,480000,0.27,,480000,2021
39,Light  Alex Light,G,22,452760,0.26,-3000.0,454760,2021
40,Kumerow  Jake Kumerow,WR,26,397399,0.22,,397399,2019
41,Brown  Tony Brown,CB,22,395294,0.22,,395294,2020
42,Lancaster  Tyler Lancaster,DL,24,367059,0.21,,367059,2020
43,Pleasant  Eddie Pleasant,FS,30,185295,0.1,,232352,2019
44,Vitale  Dan Vitale,FB,25,185295,0.1,,185295,2020
45,Looney  James Looney,DL,23,169410,0.1,,169410,2020
46,Pankey  Adam Pankey,T,24,130588,0.07,,130588,2021
47,Brown  Fadol Brown,DL,25,112940,0.06,,112940,2019
48,Jamerson  Natrell Jamerson,S,23,112940,0.06,,112940,2022
49,Donnerson  Kendall Donnerson,ED,22,112940,0.06,,112940,2020
50,Siragusa  Nico Siragusa,G,24,84705,0.05,,84705,2020
51,Bibbs  Kapri Bibbs,RB,25,82941,0.05,,82941,2020
52,Lazard  Allen Lazard,WR,23,56470,0.03,,56470,2020
53,Coleman  Lavon Coleman,RB,24,56470,0.03,,56470,2020
